Name,Shot Distance,FG%
Precious Achiuwa,2P,0.546
Jaylen Adams,2P,0.167
Steven Adams,2P,0.62
Bam Adebayo,2P,0.573
LaMarcus Aldridge,2P,0.505
Ty-Shon Alexander,2P,0.333
Nickeil Alexander-Walker,2P,0.485
Grayson Allen,2P,0.471
Jarrett Allen,2P,0.631
Al-Farouq Aminu,2P,0.484
Kyle Anderson,2P,0.539
Giannis Antetokounmpo,2P,0.636
Kostas Antetokounmpo,2P,0.3
Thanasis Antetokounmpo,2P,0.556
Carmelo Anthony,2P,0.429
Cole Anthony,2P,0.424
OG Anunoby,2P,0.562
Ryan Arcidiacono,2P,0.48
Trevor Ariza,2P,0.5
D.J. Augustin,2P,0.413
Deni Avdija,2P,0.535
Deandre Ayton,2P,0.639
Udoka Azubuike,2P,0.444
Dwayne Bacon,2P,0.449
Marvin Bagley III,2P,0.55
LaMelo Ball,2P,0.489
Lonzo Ball,2P,0.482
Mo Bamba,2P,0.568
Desmond Bane,2P,0.513
Harrison Barnes,2P,0.567
RJ Barrett,2P,0.457
Will Barton,2P,0.459
Keita Bates-Diop,2P,0.5
Nicolas Batum,2P,0.579
Aron Baynes,2P,0.532
Kent Bazemore,2P,0.486
Darius Bazley,2P,0.47
Bradley Beal,2P,0.535
Malik Beasley,2P,0.487
Jordan Bell,2P,0.35
DeAndre' Bembry,2P,0.589
Dāvis Bertāns,2P,0.48
Patrick Beverley,2P,0.468
Saddiq Bey,2P,0.45
Tyler Bey,2P,0.333
Khem Birch,2P,0.537
Goga Bitadze,2P,0.548
Bismack Biyombo,2P,0.589
Nemanja Bjelica,2P,0.559
Eric Bledsoe,2P,0.496
Keljin Blevins,2P,0.25
Bogdan Bogdanović,2P,0.522
Bojan Bogdanović,2P,0.487
Bol Bol,2P,0.471
Marques Bolden,2P,0.333
Jordan Bone,2P,0.591
Isaac Bonga,2P,0.5
Devin Booker,2P,0.543
Chris Boucher,2P,0.609
Brian Bowen,2P,0.333
Avery Bradley,2P,0.443
Tony Bradley,2P,0.675
Jarrell Brantley,2P,0.542
Ignas Brazdeikis,2P,0.436
Mikal Bridges,2P,0.647
Miles Bridges,2P,0.593
Amida Brimah,2P,0.625
Oshae Brissett,2P,0.548
Malcolm Brogdon,2P,0.493
Armoni Brooks,2P,0.514
Dillon Brooks,2P,0.461
