Name,Shot Distance,% of FG taken
Precious Achiuwa,2PA,0.996
Jaylen Adams,2PA,0.75
Steven Adams,2PA,0.99
Bam Adebayo,2PA,0.99
LaMarcus Aldridge,2PA,0.73
Ty-Shon Alexander,2PA,0.25
Nickeil Alexander-Walker,2PA,0.522
Grayson Allen,2PA,0.338
Jarrett Allen,2PA,0.961
Al-Farouq Aminu,2PA,0.626
Kyle Anderson,2PA,0.603
Giannis Antetokounmpo,2PA,0.799
Kostas Antetokounmpo,2PA,1.0
Thanasis Antetokounmpo,2PA,0.788
Carmelo Anthony,2PA,0.582
Cole Anthony,2PA,0.688
OG Anunoby,2PA,0.497
Ryan Arcidiacono,2PA,0.427
Trevor Ariza,2PA,0.407
D.J. Augustin,2PA,0.367
Deni Avdija,2PA,0.462
Deandre Ayton,2PA,0.971
Udoka Azubuike,2PA,1.0
Dwayne Bacon,2PA,0.715
Marvin Bagley III,2PA,0.78
LaMelo Ball,2PA,0.612
Lonzo Ball,2PA,0.35
Mo Bamba,2PA,0.608
Desmond Bane,2PA,0.457
Harrison Barnes,2PA,0.601
RJ Barrett,2PA,0.708
Will Barton,2PA,0.577
Keita Bates-Diop,2PA,0.746
Nicolas Batum,2PA,0.34
Aron Baynes,2PA,0.661
Kent Bazemore,2PA,0.531
Darius Bazley,2PA,0.586
Bradley Beal,2PA,0.73
Malik Beasley,2PA,0.465
Jordan Bell,2PA,0.909
DeAndre' Bembry,2PA,0.768
Dāvis Bertāns,2PA,0.105
Patrick Beverley,2PA,0.359
Saddiq Bey,2PA,0.334
Tyler Bey,2PA,0.818
Khem Birch,2PA,0.863
Goga Bitadze,2PA,0.593
Bismack Biyombo,2PA,0.996
Nemanja Bjelica,2PA,0.566
Eric Bledsoe,2PA,0.514
Keljin Blevins,2PA,0.6
Bogdan Bogdanović,2PA,0.411
Bojan Bogdanović,2PA,0.502
Bol Bol,2PA,0.586
Marques Bolden,2PA,1.0
Jordan Bone,2PA,0.407
Isaac Bonga,2PA,0.42
Devin Booker,2PA,0.712
Chris Boucher,2PA,0.58
Brian Bowen,2PA,0.75
Avery Bradley,2PA,0.409
Tony Bradley,2PA,0.985
Jarrell Brantley,2PA,0.462
Ignas Brazdeikis,2PA,0.663
Mikal Bridges,2PA,0.529
Miles Bridges,2PA,0.534
Amida Brimah,2PA,1.0
Oshae Brissett,2PA,0.483
Malcolm Brogdon,2PA,0.618
Armoni Brooks,2PA,0.182
Dillon Brooks,2PA,0.639
Bruce Brown,2PA,0.861
Charlie Brown,2PA,0.512
Jaylen Brown,2PA,0.63
Moses Brown,2PA,1.0
Sterling Brown,2PA,0.358
Troy Brown Jr.,2PA,0.514
Jalen Brunson,2PA,0.681
Elijah Bryant,2PA,0.615
Thomas Bryant,2PA,0.769
Reggie Bullock,2PA,0.291
Trey Burke,2PA,0.535
Alec Burks,2PA,0.508
Jimmy Butler,2PA,0.861
Bruno Caboclo,2PA,0.706
Devontae Cacok,2PA,1.0
Kentavious Caldwell-Pope,2PA,0.421
Facundo Campazzo,2PA,0.314
Vlatko Čančar,2PA,0.542
Devin Cannady,2PA,0.429
Clint Capela,2PA,1.0
Vernon Carey Jr.,2PA,0.806
Jevon Carter,2PA,0.323
Wendell Carter Jr.,2PA,0.888
Michael Carter-Williams,2PA,0.774
Alex Caruso,2PA,0.551
Willie Cauley-Stein,2PA,0.94
Chris Chiozza,2PA,0.523
Marquese Chriss,2PA,0.643
Gary Clark,2PA,0.182
Brandon Clarke,2PA,0.844
Jordan Clarkson,2PA,0.443
Nicolas Claxton,2PA,0.966
Amir Coffey,2PA,0.456
John Collins,2PA,0.73
Mike Conley,2PA,0.477
Pat Connaughton,2PA,0.297
Quinn Cook,2PA,0.618
Tyler Cook,2PA,0.981
DeMarcus Cousins,2PA,0.557
Robert Covington,2PA,0.301
Torrey Craig,2PA,0.533
Jae Crowder,2PA,0.228
Jarrett Culver,2PA,0.685
Seth Curry,2PA,0.493
Stephen Curry,2PA,0.413
Nate Darling,2PA,0.0
Anthony Davis,2PA,0.837
Ed Davis,2PA,1.0
Terence Davis,2PA,0.414
Gabriel Deck,2PA,0.776
Dewayne Dedmon,2PA,0.923
Matthew Dellavedova,2PA,0.554
DeMar DeRozan,2PA,0.92
Mamadi Diakite,2PA,0.8
Hamidou Diallo,2PA,0.826
Gorgui Dieng,2PA,0.571
Spencer Dinwiddie,2PA,0.563
Donte DiVincenzo,2PA,0.426
Luka Dončić,2PA,0.594
Luguentz Dort,2PA,0.485
Damyean Dotson,2PA,0.457
Devon Dotson,2PA,0.667
Sekou Doumbouya,2PA,0.592
PJ Dozier,2PA,0.58
Goran Dragić,2PA,0.56
Andre Drummond,2PA,0.986
Jared Dudley,2PA,0.333
Kris Dunn,2PA,0.833
Kevin Durant,2PA,0.687
Anthony Edwards,2PA,0.571
Carsen Edwards,2PA,0.432
CJ Elleby,2PA,0.485
Henry Ellenson,2PA,0.357
Wayne Ellington,2PA,0.186
Joel Embiid,2PA,0.829
James Ennis,2PA,0.572
