Name,Position,Team,GP,Minutes,2P,0-3,3-10,10-16,16-3P,3P,2PA,0-3A,3-10A,10-16A,16-3PA,3PA
Precious Achiuwa,PF,MIA,61,737,0.546,0.645,0.367,0.333,0.167,0.0,0.996,0.667,0.263,0.039,0.026,0.004
Jaylen Adams,PG,MIL,7,18,0.167,0.0,0.0,1.0,0.0,0.0,0.75,0.25,0.375,0.125,0.0,0.25
Steven Adams,C,NOP,58,1605,0.62,0.693,0.494,0.429,0.0,0.0,0.99,0.646,0.276,0.068,0.0,0.01
Bam Adebayo,C,MIA,64,2143,0.573,0.794,0.471,0.456,0.386,0.25,0.99,0.353,0.303,0.225,0.11,0.01
LaMarcus Aldridge,C,TOT,26,674,0.505,0.622,0.472,0.444,0.489,0.388,0.73,0.152,0.122,0.152,0.304,0.27
Ty-Shon Alexander,SG,PHO,15,47,0.333,1.0,0.0,0.0,0.0,0.222,0.25,0.083,0.0,0.0,0.167,0.75
Nickeil Alexander-Walker,SG,NOP,46,1007,0.485,0.481,0.52,0.421,0.459,0.347,0.522,0.236,0.164,0.041,0.081,0.478
Grayson Allen,SG,MEM,50,1259,0.471,0.667,0.365,0.414,0.125,0.391,0.338,0.123,0.126,0.07,0.019,0.662
Jarrett Allen,C,TOT,63,1864,0.631,0.761,0.436,0.407,0.214,0.316,0.961,0.6,0.276,0.056,0.029,0.039
Al-Farouq Aminu,PF,TOT,23,434,0.484,0.519,0.417,0.0,0.75,0.216,0.626,0.273,0.242,0.03,0.081,0.374
Kyle Anderson,PF,MEM,69,1887,0.539,0.654,0.497,0.541,0.42,0.36,0.603,0.158,0.22,0.149,0.076,0.397
Giannis Antetokounmpo,PF,MIL,61,2013,0.636,0.837,0.401,0.359,0.324,0.303,0.799,0.451,0.193,0.094,0.062,0.201
Kostas Antetokounmpo,PF,LAL,15,56,0.3,0.75,0.0,0.0,0.0,0.0,1.0,0.4,0.6,0.0,0.0,0.0
Thanasis Antetokounmpo,SF,MIL,57,551,0.556,0.671,0.105,0.0,0.5,0.241,0.788,0.62,0.139,0.015,0.015,0.212
Carmelo Anthony,PF,POR,69,1690,0.429,0.5,0.403,0.448,0.396,0.409,0.582,0.062,0.08,0.236,0.205,0.418
Cole Anthony,PG,ORL,47,1273,0.424,0.588,0.298,0.493,0.391,0.337,0.688,0.185,0.292,0.129,0.083,0.312
OG Anunoby,SF,TOR,43,1433,0.562,0.759,0.344,0.381,0.357,0.398,0.497,0.256,0.173,0.04,0.027,0.503
Ryan Arcidiacono,PG,CHI,44,450,0.48,0.556,0.375,0.7,0.167,0.373,0.427,0.154,0.137,0.085,0.051,0.573
Trevor Ariza,SF,MIA,30,841,0.5,0.609,0.261,0.0,0.25,0.35,0.407,0.286,0.095,0.008,0.017,0.593
D.J. Augustin,PG,TOT,57,1129,0.413,0.54,0.371,0.28,0.313,0.382,0.367,0.146,0.102,0.073,0.047,0.633
Deni Avdija,SF,WAS,54,1257,0.535,0.733,0.473,0.214,0.545,0.315,0.462,0.144,0.237,0.045,0.035,0.538
Deandre Ayton,C,PHO,69,2115,0.639,0.766,0.517,0.479,0.323,0.2,0.971,0.53,0.259,0.137,0.045,0.029
Udoka Azubuike,C,UTA,15,57,0.444,0.571,0.0,0.0,0.0,0.0,1.0,0.778,0.222,0.0,0.0,0.0
Dwayne Bacon,SG,ORL,72,1853,0.449,0.579,0.402,0.394,0.338,0.285,0.715,0.236,0.226,0.143,0.11,0.285
Marvin Bagley III,PF,SAC,43,1112,0.55,0.727,0.383,0.55,0.167,0.343,0.78,0.373,0.341,0.041,0.024,0.22
LaMelo Ball,PG,CHO,51,1469,0.489,0.576,0.419,0.375,0.407,0.352,0.612,0.302,0.174,0.095,0.04,0.388
Lonzo Ball,PG,NOP,55,1747,0.482,0.626,0.3,0.386,0.407,0.378,0.35,0.153,0.057,0.063,0.077,0.65
Mo Bamba,C,ORL,46,725,0.568,0.728,0.46,0.263,0.409,0.322,0.608,0.306,0.166,0.063,0.073,0.392
Desmond Bane,SG,MEM,68,1519,0.513,0.614,0.485,0.426,0.407,0.432,0.457,0.176,0.132,0.094,0.054,0.543
Harrison Barnes,PF,SAC,58,2102,0.567,0.721,0.415,0.393,0.0,0.391,0.601,0.307,0.248,0.044,0.003,0.399
RJ Barrett,SG,NYK,72,2511,0.457,0.605,0.318,0.315,0.397,0.401,0.708,0.325,0.228,0.087,0.069,0.292
Will Barton,SF,DEN,56,1736,0.459,0.63,0.297,0.455,0.39,0.381,0.577,0.227,0.211,0.072,0.067,0.423
Keita Bates-Diop,SF,SAS,30,245,0.5,0.808,0.158,0.333,0.0,0.294,0.746,0.388,0.284,0.045,0.03,0.254
Nicolas Batum,SF,LAC,67,1835,0.579,0.699,0.6,0.455,0.4,0.404,0.34,0.177,0.024,0.053,0.085,0.66
Aron Baynes,C,TOR,53,980,0.532,0.59,0.473,0.471,0.333,0.262,0.661,0.385,0.181,0.056,0.039,0.339
